x
-1 1
1 35.32116840782114 758.7364777914802
2 27.8893076794987 572.3490753424846
3 -179.8514361030911 179.9248537264122
4 -7.999894855291558 7.999333375316384
5 -7.999714117177721 7.99999930757482
6 -5.000000000000007 5.000000000000028
7 -733.5094699508702 774.3149306180168
14 -556.9305043909968 791.9800934244288
15 -180 180
16 -15.48169876712736 15.70445933103964
17 -15.97716704989802 14.88183294161222
18 -77.74557196263605 9.742187500000007
19 0.9169882192933037 424.4539696955549
21 36.18720481173225 801.1805643638405
